SNE-NG,,,,,,,Total,Server,GD8000,Getac,cPCI,Server VM,Laptop VM,Image,S/NVEC1,VECx,"STT
Laptop",ENG,DSC,PEP,"NTP
(CentOS)",NRM  (CentOS)  ,XNDM,SNDM,NNDM,NOM,NOW,SMDA  (NG SNE),SMDA (NG POP),SMDA (TCN L),MNT (B300),MNT (GD8000),PDSS RELEASE DRIVE,"CMX
(RedCom)",SIM1,SIM2,SYA,SYI,ESX,NST,T2R (Lite/TRT),T2R (NGEN),FWH,"X/SFWH
(PoP/SNE)",FWM,SRVP,N/XRVP,ASC,,,,,
,,,,,,,18,2,,,,,,Server,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,GD8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Getac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,cPCI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOTS (MITRE),Endgame,0.8.2,G,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOTS (PacStar),IQ-Core Client,5.1.14.376,G,PLM Part Number,,,1,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
GOTS (PacStar),IQ-Core Server,5.1.14.376,G,PLM Part Number,,,2,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOTS (REACTR),Windows 10 Enterprise LTSC,1809,G,PLM Part Number,,,1,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
GOTS (REACTR),Windows 2019 Datacenter,10.0.17763,G,PLM Part Number,,,5,,,,,5,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,
GOTS (REDCOM),Sigma Core,3.1.2,G,PLM Part Number,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
GOTS (REDCOM),Sigma Secure Client (Softphone ),5.1.5,G,PLM Part Number,,,1,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
GOTS (TN),Sigma Core Provisioning Tool (SPT),4.2.0,G,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOTS (TNIC) ,CIT,1.5,G,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intalio Inc.,Castor,0.9.7,F,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IntelliPower UPS Megatec Netility,Netility,4.5,V,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ireasoning.com,iReasoning,5.0.5,V,PLM Part Number,,,2,,,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oracle,Java,1.8.0_0221,V,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jidesoft.com,JIDE Common,3.6.14,F,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jounin.net,tftpd32,3.35,F,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jquery.com,Jquery,2.2.3,F,PLM Part Number,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Jquery.com,Jquery,3.1.0,F,PLM Part Number,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Knockoutjs.com,KnockoutJS,3.4.2,F,PLM Part Number,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
L3 Modem Maintenance Software,HCI,2.3.6.0,V,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maven,SwingX,1.6.5-1,F,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,.NET,4.6.2,G,PLM Part Number,,,3,,,,,2,1,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,.NET,4.8,G,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,Access Database Engine,2010 SP2,G,PLM Part Number,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Microsoft,ContentStore,2.5.22.3.48,G,PLM Part Number,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Microsoft,ASP .NET Core,5.0.15.22116,F,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,Deployment Tools,8.100.26366,F,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,DSC for Linux,2.1.1-0,F,PLM Part Number,,,2,,,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,Edge,104.0.1293.54,F,PLM Part Number,,,4,,,,,3,1,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,
Microsoft,Entity Framework,6.3.0,F,PLM Part Number,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Microsoft,Hyper-V Manager,10.0.17763.1,G,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,IIS,8.5,G,PLM Part Number,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Microsoft,LPE,1.22.0728.1142 ,G,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,OMI,1.6.8-0,F,PLM Part Number,,,4,,,,,4,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,OMI PSRP Server   ,1.4.2-2,F,PLM Part Number,,,4,,,,,4,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,Powershell,5.1,F,PLM Part Number,,,4,,,,,3,1,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,
Microsoft,Powershell,7.1.3,F,PLM Part Number,,,6,,,,,6,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
